"","NOM_ENT","NOM_MUN","NOM_LOC","ALTITUD","POBTOT","lon_dd","lat_dd","CVE_EDO","CVE_MUN","CVE_LOC","COV_","COV_ID"
"80707","Nuevo Le,"Agualeguas","AGUA BLANCA","0228",6,-99.6663888889,26.2975,"19","002","0004",80708,80707
"80708","Nuevo Le,"Agualeguas","TRES HERMANOS","0287",58,-99.8319444444,26.3319444444,"19","002","0009",80709,80708
"80709","Nuevo Le,"Agualeguas","CIENEGUITAS","0298",57,-99.875,26.3383333333,"19","002","0012",80710,80709
"80710","Nuevo Le,"Agualeguas","LA ESCONDIDA","0300",173,-99.7641666667,26.2594444444,"19","002","0017",80711,80710
"80711","Nuevo Le,"Agualeguas","EL MAGUEY","0250",3,-99.8325,26.3702777778,"19","002","0020",80712,80711
"80712","Nuevo Le,"Agualeguas","LOS GARZA","0230",244,-99.7822222222,26.3838888889,"19","002","0021",80713,80712
"80713","Nuevo Le,"Agualeguas","LA GLORIA","0150",11,-99.4711111111,26.3061111111,"19","002","0022",80714,80713
"80714","Nuevo Le,"Agualeguas","LAGUNILLAS (SAN JOS,"0260",60,-99.7169444444,26.2836111111,"19","002","0027",80715,80714
"80715","Nuevo Le,"Agualeguas","LOS MART,"0268",2,-99.7127777778,26.2672222222,"19","002","0030",80716,80715
"80716","Nuevo Le,"Agualeguas","EL MILAGRO","0220",5,-99.6530555556,26.3172222222,"19","002","0033",80717,80716
